Year,Title,Abstract,Keywords
1992,Do people understand spatial concepts: The case of first-order primitives,"The purpose of this paper is to examine whether people in general understand elementary spatial concepts, and to examine whether or not naive spatial knowledge includes the ability to understand important spatial primitives that are built into geographic theory, spatial databases and geographic information systems (GIS). The extent of such understanding is a partial measure of spatial ability. Accurate indicators or measures of spatial ability can be used to explain different types of spatial behavior. In this paper I first examine the relation between spatial ability and spatial behavior, then present experimental evidence of the ability of people to understand spatial concepts such as nearest neighbors (proximity), and spatial distributions. A final commentary is made about the possible difference between “common sense” and “expert” spatial knowledge, and the implications of such results for the comprehension of space at all scales.","Geographic Information System, Spatial Relation, Spatial Ability, Spatial Knowledge"
1992,Temporal databases,"This paper summarizes the major concepts, approaches, and implementation strategies that have been generated over the last fifteen years of research into data base management system support for time-varying information. We first examine the time domain, its structure, dimensionality, indeterminacy, and representation. We then discuss how facts may be associated with time, and consider data modeling and representational issues. We survey the many temporal query languages that have been proposed. Finally, we examine the impact to each of the components of a DBMS of adding temporal support, focusing on query optimization and evaluation.","Query Language, Relational Algebra, Query Optimization, Valid Time, Temporal Database"
1992,People manipulate objects (but cultivate fields): Beyond the raster-vector debate in GIS,"The ongoing debate in GIS regarding the relative merits of vector versus raster representations of spatial information is usually couched in technical terms. Yet the technical question of the most appropriate data structure begs the philosophical question of the most appropriate conceptualization of geographic space. The paper confronts this latter question in the context of the opposition between the “object” and “field” views of space. I suggest that GIS can turn a rather dry debate into a source of insights regarding the nature of its subject matter by learning from how people actually experience and deal with the geographic world. Human cognition indeed appears to make use of both the object and field views, but at different geographic scales, and for different purposes. These observations suggest a list of desiderata for the next round of thinking about spatial representation in GIS.","Geographic Scale, Spatial Cognition, Geographic Space, Field View, Geographic Entity"
1992,Time and space:An economic model,"Technology enables us to assemble ever and ever larger quantities of data and ever deepening data structures. These developments are not sufficient. Humans must have stories, images, habits and rules-of-thumb to live by and with in complex environments and they are just not available as they relate to the globe which is shared by all. Simply browsing through a world atlas or looking at a globe is an exercise in looking at more information than it is possible to handle at once. The remote sensing and geographic information system communities have the opportunity to engage in the construction of tools which, in their maturity, will enable new ways of comprehending our global state of affairs. The purpose of the paper which follows is to contribute to a framework for such an undertaking.","Remote Sensing, Geographic Information System, Subsistence Economy, Manufacturing Employment, Average Farm Size"
1992,The changing language of and persisting patterns in the urban design of Edo/Tokyo,"The city is an environment formed by the interaction and integration of different practices. The practices of the city involved a great number of individuals and social groups whose cosmologies are different and whose interests are in conflict.

In this paper, the author attempts to analyse the changing signification and persisting vernacular elements of the urban design of Tokyo (called Edo up till 1868) since its beginnings in the seventeenth century.

Topography was the most important factor in the urban design of this period: alluvial plains and reclaimed land were designated for the commercial and residential use of the commoners (these districts being referred to as the shitamachi) and the diluvial, hilly parts (referred to as the yamanote) were assigned to the feudal lords and their samurai subjects as residential quarters.

Destruction caused by the Kanto earthquake in 1923 and ensuing reconstruction plans were epochal inducements towards the transforming of Tokyo from a canal city into a land-traffic city. Nonetheless, most of the popular commercial centres continued to be found at the junctions of canal traffic systems and at sacred places, where moats and panoramas dominated by distantly seen symbolic mountains (Fuji and Tsukuba) were important elements.","Urban Space, Flame Spread, Urban Design, Urban Structure, Residential District"
1992,Toward a behavioral theory of regionalization,This paper addresses the problem of regionalization from a social science perspective. The author presents a theory of regionalization based on an elementary model of human action. Regions are classified according to the various phases of adaptive human behavior which they represent. The dynamism of regions is shown to derive from the interaction of these phases. Examples are given of how regions generate regions. The paper calls attention to the often unanticipated political consequences of scientific regionalization.,"Great Plain, Cultural Region, Optative Region, Optative Projection, Prescriptive Region"
1992,Descriptive modeling and prescriptive modeling in spatial data handling,"Descriptive and prescriptive modeling are here proposed to devise general and comprehensive Spatial Information Systems, which broaden the role of spatial data modeling from relatively passive inquiry to much more active intent. Descriptive modeling corresponds to a bottom up approach to spatial data organization, and provides tools to extract prominent features from the low level geometric model. Prescriptive modeling involves two aspects: exploration and generation. Exploration of a high level description of spatial data is performed to allocate stated geographical configurations, while the generation of low level descriptive models supports the simulation of geographical phenomena. An implementation of the proposed system architecture is presented with examples of both descriptive and prescriptive modeling in the context of digital terrain modeling.","Spatial Data, Geometric Model, Digital Terrain Modeling, Stochastic Perturbation, Symbolic Description"
1992,The geometry of environmental knowledge,"Theoretical and empirical work on the geometry of environmental knowledge is discussed. Certain patterns of distance and directional estimates collected from humans have been interpreted as being due to non-metric or non-Euclidean spatial knowledge. I argue that attempts to determine this geometry are inconsistent with existing theoretical models of human knowledge storage and use. Spatial estimation data are more parsimoniously explained as resulting from: (a) measurement error and ambiguity, (b) multiple and uncoordinated long-term memory representations, and (c) processes taking place when spatial knowledge is activated and used.","Work Memory, Euclidean Geometry, Spatial Knowledge, Estimation Task, Environmental Knowledge"
1992,Spatial reasoning using symbolic arrays,"Research in Artificial Intelligence and Cognitive Science has suggested the distinction between visual knowledge (such as shape, volume and colour of objects) and spatial knowledge (that is, spatial relationships among the different objects of a visual scene). We find this distinction applicable to Information Systems concerned with spatial reasoning and especially to Geographic Information Systems. In particular, this paper deals with the representation of spatial information in GIS. The paper presents a representational formalism which captures the knowledge embedded in spatial relationships and provides the ability to represent, retrieve and reason about spatial information not explicitly stored in memory.","Geographic Information System, Spatial Relationship, Knowledge Representation, Spatial Representation"
1992,Using orientation information for qualitative spatial reasoning,A new approach to representing qualitative spatial knowledge and to spatial reasoning is presented. This approach is motivated by cognitive considerations and is based on relative orientation information about spatial environments. The approach aims at exploiting properties of physical space which surface when the spatial knowledge is structured according to conceptual neighborhood of spatial relations. The paper introduces the notion of conceptual neighborhood and its relevance for qualitative temporal reasoning. The extension of the benefits to spatial reasoning is suggested. Several approaches to qualitative spatial reasoning are briefly reviewed. Differences between the temporal and the spatial domain are outlined. A way of transferring a qualitative temporal reasoning method to the spatial domain is proposed. The resulting neighborhood-oriented representation and reasoning approach is presented and illustrated. An example for an application of the approach is discussed.,"Spatial Relation, Road Segment, Spatial Knowledge, Relation Space, Spatial Reasoning"
